Codering maatstaf	Naam maatstaf	Sociale basisvoorzieningen	Participatie	Individuele voorzieningen Wmo	Individuele voorzieningen Jeugd	Bestuur en ondersteuning	Orde en veiligheid	Onderwijs	Sport, cultuur en recreatie	Infrastructuur, ruimte en milieu	Overig	Overige eigen middelen	Onroerendezaakbelasting	Totaal
histk4164	oppervlak historische kern 40 tot 65 ha	0	0	0	0	0	0	0	18.619,46	15.125,98	0	0	0	33.745,44
landbftot	oppervlak land * bodemfactor gemeente	0	0	0	0	0	0	0	0	25,72	0	0	0	25,72
land	oppervlak land	0	0	0	0	0	0	25,26	0	13,74	0	0	0	39
WOZnwe70	ozb niet-woningen eigenaren	0	0	0	0	0	0	0	0	0	0	0	-0,002933	-0,002933
WOZnwg70	ozb niet-woningen gebruikers	0	0	0	0	0	0	0	0	0	0	0	-0,002231	-0,002231
WOZwe80	ozb woningen eigenaren	0	0	0	0	0	0	0	0	0	0	0	-0,00089	-0,00089
vast	vast bedrag	0	0	0	0	529.200,02	0	0	0	401.336,28	0	0	49.821,63	980.357,93
Amsterdam	vast bedrag Amsterdam	0	0	0	0	0	0	0	0	0	74.175.269,15	0	0	74.175.269,15
Den Haag	verkiezingen Den Haag	0	0	0	0	1.326.905,44	0	0	0	0	0	0	0	1.326.905,44
Rotterdam	vast bedrag Rotterdam	0	0	0	0	0	0	0	0	0	27.064.336,61	0	0	27.064.336,61
woonr	woonruimten	0	0	0	0	82,83	56,12	0	0	-65,05	0	0	-62,09	11,81
woonrbfk	woonruimten ∗ bodemfactor woonkern	0	0	0	0	0	0	0	0	52,99	0	0	0	52,99
	herindeling	0	0	0	0	0	0	0	0	0	1	0	0	1
	Suppletie nieuwe verdeling GF	0	0	0	0	0	0	0	0	0	1	0	0	1
	beschermd wonen	0	0	1	0	0	0	0	0	0	0	0	0	1
	participatie	0	1	0	0	0	0	0	0	0	0	0	0	1
	voogdij/18+	0	0	0	1	0	0	0	0	0	0	0	0	1
	aanpak laaggeletterdheid	0	0	0	0	0	0	1	0	0	0	0	0	1
	armoedebestrijding kinderen	0	1	0	0	0	0	0	0	0	0	0	0	1
	beeldende kunst en vormgeving	0	0	0	0	0	0	0	1	0	0	0	0	1
	begeleiding jongeren naar werk	0	1	0	0	0	0	0	0	0	0	0	0	1
	BRP: Centralisering Inschrijving Vergunninghouders	0	0	0	0	1	0	0	0	0	0	0	0	1
	experiment gesloten coffeeshopketen	0	0	0	0	0	1	0	0	0	0	0	0	1
	extra capaciteit BOA's	0	0	0	0	0	1	0	0	0	0	0	0	1
	jeugd	0	0	0	0	0	0	1	0	0	0	0	0	1
	jeugdhulp aan kinderen in een AZC	0	0	0	1	0	0	0	0	0	0	0	0	1
	knelpunten verdeelproblematiek	0	0	0	0	0	0	0	0	1	0	0	0	1
	LHBTI-beleid	1	0	0	0	0	0	0	0	0	0	0	0	1
	maatschappelijke opvang	0	0	1	0	0	0	0	0	0	0	0	0	1
	personen met verward gedrag	1	0	0	0	0	0	0	0	0	0	0	0	1
	Regionale Energie Strategieën	0	0	0	0	0	0	0	0	1	0	0	0	1
	slavernijverleden	0	0	0	0	0	0	0	1	0	0	0	0	1
	Uitstapprogramma prostituees	0	1	0	0	0	0	0	0	0	0	0	0	1
	veilig wonen	0	0	0	0	0	1	0	0	0	0	0	0	1
	veilige steden	0	0	0	0	0	1	0	0	0	0	0	0	1
	veiligheidshuizen	0	0	0	0	0	1	0	0	0	0	0	0	1
	vergunningverlening, toezicht en handhaving	0	0	0	0	0	0	0	0	1	0	0	0	1
	verkeersveiligheid	0	0	0	0	0	0	0	0	1	0	0	0	1
	versterking arbeidsmarktregio's	0	1	0	0	0	0	0	0	0	0	0	0	1
	versterking omgevingsveiligheidsdiensten	0	0	0	0	0	1	0	0	0	0	0	0	1
	voorschoolse voorziening peuters	0	0	0	0	0	0	1	0	0	0	0	0	1
	vrouwenopvang	0	0	1	0	0	0	0	0	0	0	0	0	1
	Wet kwaliteitsborging bouw	0	0	0	0	0	0	0	0	1	0	0	0	1
