Gemeenten	Centrumfunctie	Sociale structuur
Molenlanden	Weinig	Goed
Montferland	Redelijk	Matig
Montfoort	Zonder	Goed
Mook en Middelaar	Zonder	Goed
Neder-Betuwe	Weinig	Goed
Nederweert	Weinig	Redelijk
Nieuwegein	Sterk	Matig
Nieuwkoop	Weinig	Goed
Nijkerk	Redelijk	Goed
Nijmegen	Sterk	Matig
Nissewaard	Sterk	Matig
Noardeast-Fryslân	Redelijk	Matig
Noord-Beveland	Zonder	Goed
Noordenveld	Weinig	Goed
Noordoostpolder	Redelijk	Matig
Noordwijk	Redelijk	Goed
Nuenen, Gerwen en Nederwetten	Weinig	Goed
Nunspeet	Redelijk	Redelijk
Oegstgeest	Weinig	Goed
Oirschot	Zonder	Goed
Oisterwijk	Weinig	Goed
Oldambt	Redelijk	Zwak
Oldebroek	Weinig	Redelijk
Oldenzaal	Redelijk	Matig
Olst-Wijhe	Weinig	Goed
Ommen	Weinig	Redelijk
Oost Gelre	Redelijk	Goed
Oosterhout	Sterk	Redelijk
Ooststellingwerf	Weinig	Matig
Oostzaan	Zonder	Goed
Opmeer	Zonder	Redelijk
Opsterland	Weinig	Redelijk
Oss	Sterk	Zwak
Oude IJsselstreek	Redelijk	Matig
Ouder-Amstel	Zonder	Goed
Oudewater	Zonder	Goed
Overbetuwe	Redelijk	Goed
Papendrecht	Redelijk	Matig
Peel en Maas	Redelijk	Redelijk
Pekela	Weinig	Zwak
Pijnacker-Nootdorp	Weinig	Goed
Purmerend	Sterk	Redelijk
Putten	Weinig	Redelijk
Raalte	Redelijk	Goed
Reimerswaal	Weinig	Goed
Renkum	Weinig	Redelijk
Renswoude	Zonder	Goed
Reusel-De Mierden	Zonder	Redelijk
Rheden	Redelijk	Matig
Rhenen	Weinig	Redelijk
Ridderkerk	Redelijk	Matig
Rijssen-Holten	Redelijk	Redelijk
Rijswijk (ZH.)	Redelijk	Matig
Roerdalen	Zonder	Redelijk
Roermond	Sterk	Zwak
De Ronde Venen	Weinig	Goed
Roosendaal	Sterk	Matig
Rotterdam		Zwak
Rozendaal	Zonder	Goed
Rucphen	Weinig	Matig
Schagen	Redelijk	Goed
Scherpenzeel	Zonder	Goed
Schiedam	Sterk	Zwak
Schiermonnikoog	Zonder	Goed
Schouwen-Duiveland	Weinig	Redelijk
Simpelveld	Zonder	Redelijk
Sint-Michielsgestel	Weinig	Goed
Sittard-Geleen	Sterk	Zwak
Sliedrecht	Weinig	Matig
Sluis	Weinig	Redelijk
Smallingerland	Sterk	Zwak
Soest	Redelijk	Goed
Someren	Weinig	Redelijk
Son en Breugel	Weinig	Goed
Stadskanaal	Redelijk	Zwak
Staphorst	Weinig	Goed
Stede Broec	Weinig	Matig
Steenbergen	Weinig	Redelijk
Steenwijkerland	Redelijk	Matig
Stein (L.)	Weinig	Redelijk
Stichtse Vecht	Redelijk	Goed
Súdwest-Fryslân	Sterk	Redelijk
Terneuzen	Redelijk	Matig
Terschelling	Zonder	Goed
Texel	Zonder	Redelijk
Teylingen	Redelijk	Goed
Tholen	Weinig	Redelijk
Tiel	Redelijk	Zwak
Tilburg	Sterk	Zwak
Tubbergen	Zonder	Goed
Twenterand	Redelijk	Matig
Tynaarlo	Weinig	Goed
Tytsjerksteradiel	Weinig	Redelijk
Uitgeest	Zonder	Goed
Uithoorn	Weinig	Redelijk
Urk	Redelijk	Goed
Utrecht (gemeente)		Redelijk
Utrechtse Heuvelrug	Redelijk	Goed
Vaals	Zonder	Matig
Valkenburg aan de Geul	Zonder	Redelijk
Valkenswaard	Redelijk	Matig
Veendam	Redelijk	Zwak
Veenendaal	Sterk	Redelijk
Veere	Zonder	Goed
Veldhoven	Redelijk	Redelijk
Velsen	Sterk	Redelijk
Venlo	Sterk	Zwak
Venray	Redelijk	Matig
Vijfheerenlanden	Redelijk	Redelijk
Vlaardingen	Sterk	Zwak
Vlieland	Zonder	Redelijk
Vlissingen	Sterk	Matig
Voerendaal	Zonder	Goed
Voorne aan Zee	Redelijk	Goed
Voorschoten	Weinig	Goed
Voorst	Weinig	Goed
Vught	Redelijk	Redelijk
Waadhoeke	Redelijk	Redelijk
Waalre	Zonder	Goed
Waalwijk	Redelijk	Matig
Waddinxveen	Redelijk	Goed
Wageningen	Redelijk	Redelijk
Wassenaar	Weinig	Goed
Waterland	Zonder	Goed
Weert	Sterk	Matig
West Betuwe	Redelijk	Goed
West Maas en Waal	Zonder	Goed
Westerkwartier	Redelijk	Goed
Westerveld	Zonder	Redelijk
Westervoort	Zonder	Matig
Westerwolde	Weinig	Matig
Westland	Sterk	Goed
Weststellingwerf	Weinig	Matig
Wierden	Weinig	Goed
Wijchen	Redelijk	Redelijk
Wijdemeren	Zonder	Goed
Wijk bij Duurstede	Weinig	Goed
Winterswijk	Redelijk	Matig
Woensdrecht	Weinig	Redelijk
Woerden	Redelijk	Goed
De Wolden	Weinig	Goed
Wormerland	Zonder	Goed
Woudenberg	Zonder	Goed
Zaanstad	Sterk	Matig
Zaltbommel	Weinig	Redelijk
Zandvoort	Zonder	Redelijk
Zeewolde	Weinig	Goed
Zeist	Sterk	Goed
Zevenaar	Redelijk	Matig
Zoetermeer	Sterk	Matig
Zoeterwoude	Zonder	Goed
Zuidplas	Weinig	Goed
Zundert	Weinig	Redelijk
Zutphen	Sterk	Zwak
Zwartewaterland	Weinig	Redelijk
Zwijndrecht	Redelijk	Zwak
Zwolle	Sterk	Redelijk
